"source.id","source.name","author","title","description","url","urlToImage","publishedAt","content"
business-insider,Business Insider,"Kwan Wei Kevin Tan","I landed a job at an AI startup right out of college. Here's what you should do if you want to work in AI.","Lambert Liu, 22, says being a holistic engineer who understands system design can help secure a job at an AI startup.","https://www.businessinsider.com/how-to-get-job-ai-startup-google-internships-tips-tech-2025-9","https://i.insider.com/68bfa2c5f9db348adc0b165c?width=1200&format=jpeg","2025-09-15T00:00:01Z","Lambert Liu, 22, is a software engineer at Graphite, an AI code review platform. While in college, Liu interned at Google and Replit.Lambert Liu
<ul><li>Lambert Liu, 22, is a recent graduate and sof… [+5043 chars]"
il-sole-24-ore,Il Sole 24 Ore,"di Francesca Barbieri","Master 2026: dal fintech all’Ai, ecco la guida per trovare lavoro","Fintech, intelligenza artificiale generativa, sostenibilità. Ma anche geopolitica, cybersecurity, data science e più in generale Stem (Science, technology, engineering e mathematics). Di fronte ai laureati intenzionati a proseguire...","https://www.ilsole24ore.com/art/master-2026-fintech-all-ai-ecco-guida-trovare-lavoro-AHBICzaC","https://i2.res.24o.it/images2010/S24/Documenti/2025/09/13/Immagini/Ritagli/copertina-U28317506024SzV-1440x752@IlSole24Ore-Web.jpg?r=1170x507","2025-09-12T10:29:52Z","Ascolta la versione audio dell'articolo
Fintech, intelligenza artificiale generativa, sostenibilità. Ma anche geopolitica, cybersecurity, data science e più in generale Stem (Science, technology, en… [+1494 chars]"
NA,Habr.com,"YCH12","ИИ и свобода воли: иллюзия выбора в мире предсказательных алгоритмов","Каждый день мы делаем десятки решений: что посмотреть, что купить, с кем общаться. Но если присмотреться, оказывается, что во многих случаях выбор уже сделан — за нас. Рекомендательные системы YouTube, TikTok, Spotify или маркетплейсов знают наши привычки луч…","https://habr.com/ru/articles/945986/#post-content-body","https://habrastorage.org/getpro/habr/upload_files/321/82c/263/32182c2631086f678a2211457f007d52.png","2025-09-11T09:14:29Z",": , , . , , . YouTube, TikTok, Spotify , .: , ?
, , , . "" "" , . , , , : "" 80%?"", Netflix (, ), : , , , . , 80% , . , , ., TikTok Instagram, : , , ( ). "" "" , , . , , , "" "". , , : , , .
 "" "": , , . N… [+844 chars]"
NA,Kdnuggets.com,"Natassha Selvaraj","Here’s How I Built an MCP to Automate My Data Science Job","A step-by-step guide to building a Model Context Protocol (MCP) for your data science team (and why adapting AI is the key to staying ahead in this field).","https://www.kdnuggets.com/built-an-mcp-to-automate-my-data-science-job","https://www.kdnuggets.com/wp-content/uploads/MCP-for-Data-Science-V1.jpeg","2025-09-15T16:00:36Z","Image by Ideogram
Most of my days as a data scientist look like this:
<ul><li>Stakeholder: ""Can you tell us how much we made in advertising revenue in the last month and what percentage of that cam… [+8673 chars]"
NA,Kdnuggets.com,"Vinod Chugani","Why Cybersecurity is More Important Today for Data Science Than Ever","AI systems powering critical decisions have become prime targets for sophisticated cyberattacks exploiting machine learning vulnerabilities.","https://www.kdnuggets.com/why-cybersecurity-is-more-important-today-for-data-science-than-ever","https://www.kdnuggets.com/wp-content/uploads/kdn-chugani-cybersecurity-important-today-data-science-than-ever-feature.png","2025-09-15T14:00:34Z","Image by Author | ChatGPT
Data science has evolved from academic curiosity to business necessity. Machine learning models now approve loans, diagnose diseases, and guide autonomous vehicles. But wit… [+6343 chars]"
NA,Computerra.ru,"Компьютерра","Российские ученые впервые сравнили инструменты по подсчету биологического возраста человека","Компьютерра
Команда исследователей AIRI и Сколтеха представила первую в мире открытую платформу для объективного сравнения алгоритмов выявления биологического возраста — так называемых «часов старения». Работа объединяет крупнейший в мире открытый набор данны…","https://www.computerra.ru/323015/rossijskie-uchenye-vpervye-sravnili-instrumenty-po-podschetu-biologicheskogo-vozrasta-cheloveka/","https://www.computerra.ru/wp-content/uploads/2025/09/vozrast.jpeg","2025-09-10T07:00:32Z","AIRI « ». , .
, . , . , , , . .
 17 000 104 , 19 , , . 13 « », .
 PhenoAge , (Yale University, Altos Labs), GrimAge, (University of California, Altos Labs).
« . , , , ».
 , « » AIRI, ...   
(, … [+113 chars]"
NA,Computerra.ru,"Компьютерра","Быстрая аналитика и полный контроль над данными: что дает Arenadata DB","Компьютерра
Компании продолжают переход на российские СУБД, но выбор сделать непросто: приходится учитывать надежность, производительность, интеграцию с уже существующими системами. При этом важно соответствовать требованиям техсуверенитета и при этом сохрани…","https://www.computerra.ru/323088/bystraya-analitika-i-polnyj-kontrol-nad-dannymi-chto-daet-arenadata-db/","https://www.computerra.ru/wp-content/uploads/2025/09/photo_2025-09-10_15-23-30.jpg","2025-09-10T12:24:07Z",", : , , . .
 Arenadata DB (ADB) , MPP- (Massively Parallel Processing). , 4- . . 
MPP- Greenplum, Arenadata DB . , . SQL- , , - .
 ADB , 4- . , , , - , .
 SQL Arenadata DB . . 
 , Arenadata DB :… [+573 chars]"
NA,Socialnomics.net,"Socialnomics Trends","From Notebook to P&L: Guide to Productionizing Data Science in Mid-Market Teams","From Notebook to P&L: Guide to Productionizing Data Science in Mid-Market Teams Notebooks are fun. Revenue is better. The hard part isn’t building a model and designing data visualization. It’s getting that model to pull its weight in production, week after w…","https://socialnomics.net/2025/09/10/from-notebook-to-pl-guide-to-productionizing-data-science-in-mid-market-teams/","https://socialnomics.net/wp-content/uploads/2025/08/Business-workflow.jpg","2025-09-10T13:00:53Z","Notebooks are fun. Revenue is better. The hard part isnt building a model and designing data visualization. Its getting that model to pull its weight in production, week after week, without wrecking … [+6427 chars]"
NA,Posit.co,"Posit Team","Posit Signs Strategic Collaboration Agreement with AWS","The strategic collaboration agreement (SCA) allows enterprises to seamlessly migrate to the cloud to build, run, and leverage critical data science outcomes.
The post Posit Signs Strategic Collaboration Agreement with AWS appeared first on Posit.","https://posit.co/blog/posit-signs-strategic-collaboration-agreement-with-aws/","https://posit.co/wp-content/themes/Posit/dist/images/site-share-image-25.png","2025-09-12T12:02:29Z","The strategic collaboration agreement (SCA) allows enterprises to seamlessly migrate to the cloud to build, run, and leverage critical data science outcomes.
BOSTON, September 12, 2025 Posit PBC, a … [+4161 chars]"
NA,Science Daily,NA,"No one knows what these strange larvae grow into","Not all barnacles just sit on rocks and ships. Some invade crabs, growing like a parasitic root system that hijacks their bodies. A mysterious group called y-larvae has baffled scientists for over a century, with no known adult stage. Genetic evidence now rev…","https://www.sciencedaily.com/releases/2025/09/250913112506.htm","https://www.sciencedaily.com/images/1920/facetotectans.webp","2025-09-13T15:37:08Z","When you think of barnacles, you likely picture shell-like creatures stuck to the sides of boats or docks, or even whales. However, did you know that some of the barnacles that attach to other animal… [+6500 chars]"
